,date,gauge,discharge,rainfall,rainfall_ft
1284,2011-04-14,4.170833333333333,357.5416666666667,0.0,0.0
1285,2011-04-15,3.8495833333333334,272.375,0.0,0.0
1286,2011-04-16,4.220416666666667,405.2916666666667,0.09249999999999999,0.0075
1287,2011-04-17,7.6745833333333335,1693.4583333333333,0.020833333333333332,0.0016666666666666668
1288,2011-04-18,5.205416666666667,676.6666666666666,0.0,0.0
1289,2011-04-19,4.9191666666666665,580.9166666666666,0.0016666666666666668,0.0
1290,2011-04-20,4.754583333333334,528.625,0.0,0.0
1291,2011-04-21,4.474166666666666,443.875,0.0,0.0
1292,2011-04-22,4.207916666666667,367.75,0.0004166666666666667,0.0
1293,2011-04-23,4.2325,376.0833333333333,0.018333333333333333,0.0008333333333333334
1294,2011-04-24,4.07875,333.125,0.015,0.0008333333333333334
1295,2011-04-25,4.5575,471.0833333333333,0.0016666666666666668,0.0
1296,2011-04-26,3.9633333333333334,301.875,0.0,0.0
1297,2011-04-27,3.7429166666666664,245.04166666666666,0.004166666666666667,0.0004166666666666667
1298,2011-04-28,4.070416666666667,341.375,0.017499999999999998,0.00125
1299,2011-04-29,3.9166666666666665,290.2916666666667,0.0,0.0
1300,2011-04-30,3.5591666666666666,201.125,0.0,0.0
1301,2011-05-01,3.391666666666667,164.41666666666666,0.0004166666666666667,0.0
1302,2011-05-02,3.2895833333333333,143.91666666666666,0.0,0.0
1303,2011-05-03,3.2170833333333335,130.08333333333334,0.0016666666666666668,0.0
1304,2011-05-04,3.44125,178.45833333333334,0.023750000000000004,0.0008333333333333334
1305,2011-05-05,3.34625,155.29166666666666,0.0,0.0
1306,2011-05-06,3.23875,133.875,0.0,0.0
1307,2011-05-07,3.158333333333333,119.58333333333333,0.0008333333333333334,0.0
1308,2011-05-08,3.095416666666667,108.79166666666667,0.0,0.0
1309,2011-05-09,3.0500000000000003,101.2,0.0,0.0
1310,2011-05-10,2.9970833333333338,92.44583333333333,0.0,0.0
1311,2011-05-11,2.9525,85.46666666666665,0.0,0.0
1312,2011-05-12,2.921666666666667,80.84583333333333,0.0,0.0
1313,2011-05-13,2.8954166666666663,77.02499999999999,0.0,0.0
1314,2011-05-14,2.8783333333333334,74.59166666666667,0.0004166666666666667,0.0
1315,2011-05-15,3.1925000000000003,128.55416666666667,0.017499999999999998,0.0008333333333333334
1316,2011-05-16,3.86875,281.8333333333333,0.00875,0.0004166666666666667
1317,2011-05-17,3.6458333333333335,221.66666666666666,0.017916666666666668,0.0016666666666666668
1318,2011-05-18,4.246666666666667,387.0416666666667,0.022500000000000003,0.00125
1319,2011-05-19,4.097916666666666,338.4166666666667,0.0062499999999999995,0.0004166666666666667
1320,2011-05-20,3.8791666666666664,280.125,0.007083333333333334,0.0
1321,2011-05-21,3.702083333333333,235.04166666666666,0.0025,0.0
